央视,#genre#
新疆卫视,http://yezilive.jxpan.vip:35455/nptv/xinjiang.m3u8
吉林卫视,http://yezilive.jxpan.vip:35455/nptv/jiling.m3u8
辽宁卫视,http://yezilive.jxpan.vip:35455/nptv/liaoning.m3u8
黑龙江卫视,http://yezilive.jxpan.vip:35455/nptv/heilongjiang.m3u8
内蒙古卫视,http://yezilive.jxpan.vip:35455/nptv/neimenggu.m3u8

东方卫视,http://yezilive.jxpan.vip:35455/mgtv/651632648.m3u8
江苏卫视,http://yezilive.jxpan.vip:35455/mgtv/623899368.m3u8
广东卫视,http://yezilive.jxpan.vip:35455/mgtv/608831231.m3u8
江西卫视,http://yezilive.jxpan.vip:35455/mgtv/783847495.m3u8
河南卫视,http://yezilive.jxpan.vip:35455/mgtv/790187291.m3u8
陕西卫视,http://yezilive.jxpan.vip:35455/mgtv/738910838.m3u8
湖北卫视,http://yezilive.jxpan.vip:35455/mgtv/947472496.m3u8
吉林卫视,http://yezilive.jxpan.vip:35455/mgtv/947472500.m3u8
青海卫视,http://yezilive.jxpan.vip:35455/mgtv/947472506.m3u8
东南卫视,http://yezilive.jxpan.vip:35455/mgtv/849116810.m3u8
海南卫视,http://yezilive.jxpan.vip:35455/mgtv/947472502.m3u8

北京卫视,http://148.135.93.213/live.php?id=北京卫视
天津卫视,http://148.135.93.213/live.php?id=天津卫视
东方卫视,http://148.135.93.213/live.php?id=东方卫视
浙江卫视,http://148.135.93.213/live.php?id=浙江卫视
湖南卫视,http://148.135.93.213/live.php?id=湖南卫视
江苏卫视,http://148.135.93.213/live.php?id=江苏卫视
江西卫视,http://148.135.93.213/live.php?id=江西卫视
广东卫视,http://148.135.93.213/live.php?id=广东卫视
广西卫视,http://148.135.93.213/live.php?id=广西卫视
东南卫视,http://148.135.93.213/live.php?id=东南卫视
河北卫视,http://148.135.93.213/live.php?id=河北卫视
海南卫视,http://148.135.93.213/live.php?id=海南卫视
河北卫视,http://148.135.93.213/live.php?id=河北卫视
河南卫视,http://148.135.93.213/live.php?id=河南卫视
山东卫视,http://148.135.93.213/live.php?id=山东卫视
山西卫视,http://148.135.93.213/live.php?id=山西卫视
